symbol,date,P,V,G,close,next_day_return,regime
COIN,2025-12-02 05:00:00,-0.3059930656492587,0.00831670650223744,0.5437,263.26,,NEUTRAL
COIN,2025-12-01 05:00:00,-0.2537102636744068,0.008554065075777863,0.5437,259.84,1.3161945812807945,NEUTRAL
COIN,2025-11-28 05:00:00,-0.26264046737232866,0.010554954166390039,0.5437,272.82,-4.757715709991943,NEUTRAL
COIN,2025-11-26 05:00:00,-0.3241371676471732,0.010417383780053698,0.5437,264.97,2.9625995395705043,NEUTRAL
PLTR,2025-12-02 05:00:00,-0.2208394790471093,0.00889386206287351,0.6624,170.69,,NEUTRAL
PLTR,2025-12-01 05:00:00,-0.19996238595190824,0.010341402672381858,0.6624,167.49,1.9105618245865357,NEUTRAL
PLTR,2025-11-28 05:00:00,-0.21852459631197918,0.011450301405317841,0.6624,168.45,-0.5699020480854732,NEUTRAL
PLTR,2025-11-26 05:00:00,-0.16292768412979397,0.014358924500017807,0.6624,165.77,1.6166978343487834,NEUTRAL
SOFI,2025-12-02 05:00:00,0.0259253998102172,0.005340829290911987,0.7772,29.51,,NEUTRAL
SOFI,2025-12-01 05:00:00,0.0324161709984979,0.006297708695311939,0.7772,29.03,1.6534619359283513,NEUTRAL
SOFI,2025-11-28 05:00:00,-0.009620247482200963,0.009766177012646544,0.7772,29.72,-2.3216689098250263,NEUTRAL
SOFI,2025-11-26 05:00:00,-0.08472207765393483,0.008043354645012851,0.7772,28.49,4.317304317304319,NEUTRAL
MARA,2025-12-02 05:00:00,-0.42017405607257063,0.005371832609318727,0.6714,11.91,,BEARISH_CALL_HEDGED
MARA,2025-12-01 05:00:00,-0.42796827769947715,0.006034025301166146,0.6714,11.52,3.385416666666672,BEARISH_CALL_HEDGED
MARA,2025-11-28 05:00:00,-0.44845098023546676,0.009601693249487064,0.6714,11.81,-2.4555461473327767,BEARISH_CALL_HEDGED
MARA,2025-11-26 05:00:00,-0.5489660424988748,0.0055806204945312715,0.6714,11.11,6.30063006300631,BEARISH_CALL_HEDGED
RIOT,2025-12-02 05:00:00,-0.2665611288641708,-0.008608973086129554,0.6607,15.22,,NEUTRAL
RIOT,2025-12-01 05:00:00,-0.3025867990258567,-0.004298056779333308,0.6607,15.48,-1.6795865633074922,BEARISH_CALL_HEDGED
RIOT,2025-11-28 05:00:00,-0.30889153910131517,-0.001827746533611438,0.6607,16.13,-4.029758214507121,BEARISH_CALL_HEDGED
RIOT,2025-11-26 05:00:00,-0.3826643276959691,-0.004640237854705971,0.6607,14.96,7.820855614973249,BEARISH_CALL_HEDGED
NIO,2025-12-02 05:00:00,-0.6115937823763273,0.0004757425218976999,0.5455,5.03,,NEUTRAL
NIO,2025-12-01 05:00:00,-0.4981961638180527,0.0008635297196442661,0.5455,5.18,-2.8957528957528855,NEUTRAL
